Image	Model1	Model2	Model3	Model4	MajorityVoting	WeightedVoting
2661.jpg	63.43	38.34	55.43	39.43	52.48	62.60
2662.jpg	83.58	83.23	82.89	80.59	83.77	83.83
2663.jpg	79.40	76.86	75.17	69.60	78.03	79.14
2664.jpg	63.95	54.32	51.48	36.08	60.98	64.13
2665.jpg	69.37	32.44	31.68	35.88	32.24	63.17
2666.jpg	77.20	38.72	46.86	40.84	49.52	76.34
2667.jpg	70.62	65.98	49.60	45.28	68.91	74.38
2668.jpg	89.35	69.39	65.75	66.49	77.00	89.68
2669.jpg	71.82	72.77	71.83	64.27	72.98	72.39
267.jpg	66.22	52.55	57.81	54.41	59.68	67.07
2670.jpg	82.47	77.33	87.60	73.25	84.17	82.77
2671.jpg	73.79	70.82	74.84	58.40	73.36	74.07
2672.jpg	66.85	58.61	48.90	49.11	60.59	67.24
2673.jpg	68.68	67.06	61.78	62.11	67.13	69.63
2674.jpg	65.88	54.82	56.59	53.78	59.83	66.53
2675.jpg	72.92	60.53	57.95	59.15	67.64	73.64
2676.jpg	84.11	36.92	80.36	65.44	82.09	84.27
2677.jpg	73.03	59.81	69.49	57.05	71.33	73.37
