Image	Model1	Model2	Model3	Model4	MajorityVoting	WeightedVoting
3724.jpg	76.69	40.33	55.20	46.13	54.40	76.87
3723.jpg	93.27	62.82	64.59	59.48	67.36	89.57
3725.jpg	89.07	78.76	81.01	62.21	82.93	88.92
3726.jpg	67.37	52.40	57.07	51.92	57.00	63.47
3727.jpg	98.14	79.85	83.94	65.81	92.74	98.33
3728.jpg	98.20	54.16	88.28	47.90	90.67	97.11
3729.jpg	73.94	77.42	95.68	65.10	81.01	75.05
373.jpg	55.99	48.99	50.50	44.67	51.81	56.53
3731.jpg	62.44	49.71	59.07	33.02	57.60	62.79
3730.jpg	93.99	68.70	78.99	72.39	82.30	93.71
3732.jpg	83.02	32.03	74.12	24.70	73.68	84.36
3733.jpg	76.43	62.49	71.04	43.84	71.68	75.01
3734.jpg	68.36	13.24	12.15	11.18	27.03	67.89
3735.jpg	82.25	56.78	69.24	71.60	75.54	81.58
3736.jpg	68.69	34.29	72.98	58.49	67.10	70.39
3737.jpg	80.23	69.15	74.45	69.90	74.87	80.07
3738.jpg	50.75	35.04	36.28	33.94	37.11	50.80
3739.jpg	84.76	66.30	68.89	60.10	73.19	84.63
374.jpg	52.83	43.93	45.37	42.75	45.21	52.88
3740.jpg	43.61	41.47	41.94	33.26	42.36	45.38
3741.jpg	70.85	69.09	56.51	46.26	68.77	71.01
3742.jpg	59.71	36.76	58.13	48.91	60.40	59.68
3743.jpg	63.67	55.85	61.44	55.58	62.59	64.02
3744.jpg	76.17	16.11	54.91	25.32	54.50	76.27
3745.jpg	92.39	87.35	78.34	67.07	90.38	91.97
3746.jpg	63.35	57.66	43.49	42.55	49.12	62.78
3747.jpg	82.27	55.86	47.51	47.43	53.47	79.61
3749.jpg	78.46	59.81	51.51	51.51	70.03	77.49
3748.jpg	57.00	52.05	56.54	50.66	56.68	57.16
375.jpg	80.51	57.21	64.73	56.50	66.67	80.81
3750.jpg	56.51	48.06	49.01	55.16	51.42	56.30
3751.jpg	67.41	23.82	30.66	25.13	40.71	67.39
3752.jpg	49.16	4.08	17.74	16.64	18.57	36.21
3753.jpg	61.11	40.23	43.44	37.53	47.45	58.94
3754.jpg	93.29	58.64	78.25	49.40	82.35	92.65
3755.jpg	87.05	48.02	48.07	47.56	57.62	86.48
3756.jpg	89.16	70.76	87.21	55.30	72.56	88.27
3757.jpg	87.23	72.34	61.78	55.40	76.19	86.40
3758.jpg	92.28	42.22	38.21	41.44	45.78	91.99
3759.jpg	77.58	35.19	39.49	34.12	38.23	77.44
3760.jpg	84.52	53.43	54.85	46.20	59.70	85.68
376.jpg	66.33	55.70	60.30	60.86	62.38	66.42
3761.jpg	90.73	68.38	78.20	54.65	87.93	91.01
3763.jpg	77.72	46.93	72.54	34.97	73.71	75.49
3762.jpg	45.20	35.38	36.77	35.19	36.63	44.82
3764.jpg	90.01	88.21	85.78	84.74	88.86	90.44
3765.jpg	94.70	72.84	56.56	57.01	83.24	93.95
3766.jpg	65.33	49.13	64.71	28.84	65.55	65.08
3767.jpg	94.88	74.96	80.57	71.10	80.12	93.12
3768.jpg	51.18	53.74	50.54	40.60	51.43	50.93
3769.jpg	92.22	36.80	44.71	34.32	51.06	92.82
